name,version,filename,python_version
psycopg-binary,3.1.2,psycopg_binary-3.1.2-cp37-cp37m-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,cp37
psycopg-binary,3.1.2,psycopg_binary-3.1.2-cp37-cp37m-manylinux_2_17_i686.manylinux2014_i686.whl,cp37
psycopg-binary,3.1.2,psycopg_binary-3.1.2-cp37-cp37m-manylinux_2_17_ppc64le.manylinux2014_ppc64le.whl,cp37
psycopg-binary,3.1.2,psycopg_binary-3.1.2-cp37-cp37m-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,cp37
psycopg-binary,3.1.2,psycopg_binary-3.1.2-cp37-cp37m-musllinux_1_1_aarch64.whl,cp37
psycopg-binary,3.1.2,psycopg_binary-3.1.2-cp37-cp37m-musllinux_1_1_i686.whl,cp37
psycopg-binary,3.1.2,psycopg_binary-3.1.2-cp37-cp37m-musllinux_1_1_ppc64le.whl,cp37
psycopg-binary,3.1.2,psycopg_binary-3.1.2-cp37-cp37m-musllinux_1_1_x86_64.whl,cp37
psycopg-binary,3.1.2,psycopg_binary-3.1.2-cp37-cp37m-win_amd64.whl,cp37
pantsbuild.pants,2.13.0.dev3,pantsbuild.pants-2.13.0.dev3-cp37-cp37m-macosx_10_15_x86_64.whl,cp37
pantsbuild.pants,2.13.0.dev3,pantsbuild.pants-2.13.0.dev3-cp37-cp37m-manylinux2014_x86_64.whl,cp37
pantsbuild.pants,2.12.0rc1,pantsbuild.pants-2.12.0rc1-cp37-cp37m-macosx_10_15_x86_64.whl,cp37
pantsbuild.pants,2.12.0rc1,pantsbuild.pants-2.12.0rc1-cp37-cp37m-manylinux2014_x86_64.whl,cp37
pantsbuild.pants,2.11.1rc1,pantsbuild.pants-2.11.1rc1-cp37-cp37m-manylinux2014_x86_64.whl,cp37
pantsbuild.pants,2.11.1rc1,pantsbuild.pants-2.11.1rc1-cp37-cp37m-macosx_10_15_x86_64.whl,cp37
sagemaker-tensorflow,2.9.1.1.15.0,sagemaker_tensorflow-2.9.1.1.15.0-cp37-cp37m-manylinux1_x86_64.whl,cp37
picard,2.8,picard-2.8-cp37-cp37m-macosx_10_15_x86_64.whl,cp37
picard,2.8,picard-2.8-cp37-cp37m-win_amd64.whl,cp37
line-profiler,4.0.2,line_profiler-4.0.2-cp37-cp37m-macosx_10_9_x86_64.whl,cp37
line-profiler,4.0.2,line_profiler-4.0.2-cp37-cp37m-manylinux_2_17_i686.manylinux2014_i686.whl,cp37
line-profiler,4.0.2,line_profiler-4.0.2-cp37-cp37m-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,cp37
line-profiler,4.0.2,line_profiler-4.0.2-cp37-cp37m-musllinux_1_1_i686.whl,cp37
line-profiler,4.0.2,line_profiler-4.0.2-cp37-cp37m-musllinux_1_1_x86_64.whl,cp37
